id,text,url,llama,entity_presence,svm_1,gemini-flash_faiss_loc,gemini-flash_faiss,gemini-flash_faiss_country
00072.jsonl.gz-3405031,Welcome to St. Croix: This lush island may be the most laid-back in the U.S. Virgin Islands.,https://i.pinimg.com/736x/8c/29/76/8c29761ea5354828e861e5055821eadf--the-virgin-islands-st-croix-virgin-islands-beaches.jpg,u.s. virgin islands,yes,1.0,,['no'],united states
00082.jsonl.gz-9157274,Kentucky Island Home Fine Art Print by Illustrations by Phil,https://cdn-images.threadless.com/threadless-media/artist_shops/shops/Phillustrations/products/757045/shirt-1536853078-553b4bd8630898fc07878eace5f9b891.png?v=3&d=eyJvbmx5X21ldGEiOiBmYWxzZSwgImZvcmNlIjogZmFsc2UsICJvcHMiOiBbWyJpZl8iLCBbeyJ0IjogImV4cHIiLCAidiI6IFsiaGFzX2FscGhhIiwgbnVsbCwgbnVsbF19LCB7InQiOiAiY29tcCIsICJ2IjogWyJ0aHJlYWRsZXNzLW1lZGlhL2FydGlzdF9zaG9wcy9zaG9wcy9QaGlsbHVzdHJhdGlvbnMvcHJvZHVjdHMvNzU3MDQ1L3NoaXJ0LTE1MzY4NTMwNzgtNTUzYjRiZDg2MzA4OThmYzA3ODc4ZWFjZTVmOWI4OTEucG5nIiwgW1sidHJpbSIsIFt0cnVlLCBmYWxzZV0sIHt9XSwgWyJyZXNpemUiLCBbNDExLjQyODU3MTQyODU3MTQsIDQxMS40Mjg1NzE0Mjg1NzE0XSwgeyJtYXhfc2NhbGUiOiAyLjB9XSwgWyJjYW52YXNfY2VudGVyZWQiLCBbNTE0LjI4NTcxNDI4NTcxNDIsIDUxNC4yODU3MTQyODU3MTQyXSwgeyJiYWNrZ3JvdW5kIjogIjAwNDBhMiJ9XV1dfSwgeyJ0IjogImNvbXAiLCAidiI6IFsidGhyZWFkbGVzcy1tZWRpYS9hcnRpc3Rfc2hvcHMvc2hvcHMvUGhpbGx1c3RyYXRpb25zL3Byb2R1Y3RzLzc1NzA0NS9zaGlydC0xNTM2ODUzMDc4LTU1M2I0YmQ4NjMwODk4ZmMwNzg3OGVhY2U1ZjliODkxLnBuZyIsIFtbInJlc2l6ZSIsIFs1MTQuMjg1NzE0Mjg1NzE0MiwgNTE0LjI4NTcxNDI4NTcxNDJdLCB7Im1heF9zY2FsZSI6IDIuMH1dLCBbImNhbnZhc19jZW50ZXJlZCIsIFs1MTQuMjg1NzE0Mjg1NzE0MiwgNTE0LjI4NTcxNDI4NTcxNDJdLCB7ImJhY2tncm91bmQiOiAiZmZmIn1dXV19XSwge31dLCBbImVuY29kZSIsIFsiLnBuZyJdLCB7ImRwaSI6IDMwMH1dLCBbInJlc2l6ZSIsIFsxNjIzXSwge31dLCBbIm92ZXJsYXkiLCBbInRocmVhZGxlc3MtbWVkaWEvYXJ0aXN0X3Nob3BzL292ZXJsYXlzLzU5ZjllYjYwODNiNTU3NmE3N2FjNmU1NTNhYjA0MjhkL2Zyb250LTE0NzMyNzU3NjEtNTMzNDlkM2EyOTRlZmJkYTZlMWZhYTE3ZTQ1MDU1NGYucG5nIl0sIHsieSI6IDE4OCwgIngiOiAxODgsICJiYWNrZ3JvdW5kIjogIjAwNDBhMiJ9XSwgWyJyZXNpemUiLCBbODAwXSwge31dLCBbImNhbnZhc19jZW50ZXJlZCIsIFs4MDAsIDgwMCwgIiNmZmZmZmYiXSwge31dLCBbImVuY29kZSIsIFsianBnIiwgODVdLCB7fV1dfQ==,united states,no,1.0,,['no'],united states
00079.jsonl.gz-18021033,"واحد منزل الأسرة للـ Sale في Beach House, Paradise Island Beach House, Paradise Island Other Areas, Florida 00000 United States",http://cdn.photos.sparkplatform.com/fl/20170721201240097970000000.jpg,united states,yes,1.0,,['no'],united states
00066.jsonl.gz-13186943,"Island Style Ukulele 2, by Various Artists , Music - Mountain Apple Company, The Kauai Store",https://cdn.shopify.com/s/files/1/0866/8960/products/island_style_ukulele_2_small.jpg?v=1460024071,hawaii,yes,1.0,,['no'],united states
00068.jsonl.gz-8507150,Beautiful view of famous Alcatraz Island illuminated in majestic golden evening light at sunset in summer San Francisco Bay California USA,https://static3.bigstockphoto.com/5/7/1/large2/175207375.jpg,united states,yes,1.0,,['no'],united states
00014.jsonl.gz-7283397,cocoa-island-by-como-hotel-maldives-indian-ocean by koming up,http://www.komingup.com/wp-content/uploads/2015/03/cocoa-island-by-como-hotel-maldives-indian-ocean-by-koming-up.jpg,maldives,yes,1.0,,['no'],maldives
00087.jsonl.gz-3787789,Angaga Island Resort & Spa - Maldives,https://i.pinimg.com/236x/e7/fe/aa/e7feaa87f49e15609f83d247726750d0--places-to-go-dreams.jpg,maldives,yes,1.0,,['no'],maldives
00083.jsonl.gz-2401082,Island Hopping Sailing Tours in Maldives to Uninhabited Islands,http://srilankanexpeditions.com/images/sri-lanka-holidays/maldives-adventure-holidays/robinson-crusoe/maldives-sailing-tours-uninhabited-islands-21.jpg,maldives,yes,1.0,,['no'],maldives
00010.jsonl.gz-2229966,Download this Chilling Picture Meeru Island Resort And Spa Meerufenfushi picture,http://media-cdn.tripadvisor.com/media/photo-s/05/f3/15/51/meeru-island-resort-spa.jpg,maldives,yes,1.0,,['no'],maldives
00069.jsonl.gz-6873345,Overwater bungallows in blue lagoon around tropical island in Maldives,https://us.123rf.com/450wm/mvaligursky/mvaligursky1112/mvaligursky111200033/11828412-overwater-bungallows-in-blue-lagoon-around-tropical-island-in-maldives.jpg,maldives,yes,1.0,,['no'],maldives
00017.jsonl.gz-4667681,"Water Villas (Bungalows) on the Perfect Tropical Island, Maldives",https://thumb7.shutterstock.com/image-photo/stock-photo-water-villas-bungalows-on-the-perfect-tropical-island-maldives-450w-163954109.jpg,maldives,yes,1.0,,['no'],maldives
00021.jsonl.gz-6051419,Maldives white sandy beach 2 people young couple man woman floating on airbed inflatable mattress swimming splashing on sunny tropical paradise island with aqua blue sky sea water ocean.,https://static1.bigstockphoto.com/9/8/1/large2/189605989.jpg,maldives,yes,1.0,,['no'],maldives
00074.jsonl.gz-13139816,"Maldives island, luxury water villas resort and wooden pier. Beautiful sky and clouds and beach background for summer vacation holiday and travel - Stock Image",https://c8.alamy.com/comp/P99FT7/maldives-island-luxury-water-villas-resort-and-wooden-pier-beautiful-sky-and-clouds-and-beach-background-for-summer-vacation-holiday-and-travel-P99FT7.jpg,maldives,yes,1.0,,['no'],maldives
00080.jsonl.gz-8053128,Aerial flying drone view of Maldives white sandy beach luxury 5 star resort hotel water bungalows relaxing holiday vacation on sunny tropical paradise island with aqua blue sky sea ocean 4k.,https://static1.bigstockphoto.com/9/8/1/large2/189594193.jpg,maldives,yes,1.0,,['no'],maldives
00073.jsonl.gz-14292466,Small island in the Maldives Royalty Free Stock Photo,https://thumbs.dreamstime.com/t/small-island-maldives-landscape-indian-ocean-kaafu-atoll-kuda-huraa-104529565.jpg,maldives,yes,1.0,,['no'],maldives
00017.jsonl.gz-11907502,Aerial shot of tropical coral reefs and atolls in Maldives island Stock Footage,https://images.pond5.com/aerial-shot-tropical-coral-reefs-footage-058032519_iconl.jpeg,maldives,yes,1.0,,['no'],maldives
00000.jsonl.gz-3921510,Aerial View of a Tropical Island  Maldives  Indian Ocean  Asia,http://cache2.artprintimages.com/p/MED/64/6416/QFW9100Z/art-print/sakis-papadopoulos-aerial-view-of-a-tropical-island-maldives-indian-ocean-asia.jpg,maldives,yes,1.0,,['no'],maldives
00003.jsonl.gz-14247412,Beautiful tropical Maldives resort hotel and island with beach and sea on sky for holiday vacation background concept - Boost up color Processing,https://thumb1.shutterstock.com/image-photo/stock-photo-beautiful-tropical-maldives-resort-hotel-and-island-with-beach-and-sea-on-sky-for-holiday-vacation-450w-427960810.jpg,maldives,yes,1.0,,['no'],maldives
00066.jsonl.gz-13747498,Honeymoon im Mirihi Island Resort | Flitterwochen-Ziele.de,https://www.flitterwochen-ziele.de/media/k2/items/cache/2cf3de1421350014af841348e8a1b0fb_XL.jpg,maldives,yes,1.0,,['no'],maldives
00018.jsonl.gz-6291330,"Waldorf Astoria's in reakah 80,000 Usd ah vikkaa private island eh raajjeygai",https://mbsnews.mv/files/images/medialibrary/img_xs_202101150301441610704904.0293.jpg,maldives,no,1.0,,['no'],maldives
00013.jsonl.gz-16639217,Water Villas of Sun Island Resort – Over water accommodation in Maldives,http://www.vermillionmaldives.com/images/resort/SunIslandResortSpa/Water-Villas-of-Sun-Island-Resort-Over-water-accommodation-in-Maldives.jpg,maldives,yes,1.0,,['no'],maldives
00001.jsonl.gz-7263108,Summer Island Maldives,https://southasiantravelawards.com/uploads/nominees/thumb/15801038867410.jpg,maldives,yes,1.0,,['no'],maldives
00015.jsonl.gz-5652682,"Tropical lagoon with palm island, Maldives",https://www.enmark2.com/images/productos/cartel/3FK3155.jpg,maldives,yes,1.0,,['no'],maldives
00079.jsonl.gz-8373943,aerial view of tropical paradise maldives island resort with coral reef turquoise blue ocean tourism background - 261804197,https://t2.ftcdn.net/jpg/02/61/80/41/160_F_261804197_QtX7rLSRssyRuSxxTuJXD6HK8NuI4l4L.jpg,maldives,yes,1.0,,['no'],maldives
00069.jsonl.gz-2257744,Centara Grand Island Resort & Spa Maldives : beautiful views,https://media-cdn.tripadvisor.com/media/photo-s/05/27/14/3d/centara-grand-island.jpg,maldives,yes,1.0,,['no'],maldives
00005.jsonl.gz-14218683,Photo of Thulhagiri Island Resort North Male Atoll,http://media-cdn.tripadvisor.com/media/photo-s/04/9f/fc/67/thulhagiri-island-resort.jpg,maldives,yes,1.0,,['no'],maldives
00001.jsonl.gz-13242321,Meeru Island Resort & Spa,https://pix10.agoda.net/hotelImages/12159/-1/7613e7152ce33ca7d9ac3a488b506318.jpg?s=208x117&amp;ar=16x9,maldives,yes,1.0,,['no'],maldives
00075.jsonl.gz-7331779,maldives-resort-island,https://www.thewowstyle.com/wp-content/uploads/2015/01/maldives-resort-island.jpg,maldives,yes,1.0,,['no'],maldives
00078.jsonl.gz-15644923,"A deserted beach and tropical vegetation on an island in the Northern Huvadhu Atoll, Maldives, Indian Ocean, Asia",https://media01.stockfood.com/thumbs/170/71031424.jpg,maldives,yes,1.0,,['no'],maldives
00064.jsonl.gz-3903421,Shoreline Of A Tropical Island In The Maldives And View Of The Indian Ocean.,https://static2.bigstockphoto.com/thumbs/8/1/1/large2/118761797.jpg,maldives,yes,1.0,,['no'],maldives
00006.jsonl.gz-3542275,Island View Apartment by Simply-Seychelles - Eden Island vacation rentals,https://tap1.fkimg.com/media/vr-splice-l/00/70/3c/12.jpg,seychelles,yes,1.0,,['no'],seychelles
00068.jsonl.gz-7531149,"Woman wearing retro striped bikini and beach hat, enjoying amazing view on Anse Patates beach on La Digue Island, Seychelles. Summer vacations on picture perfect tropical beach concept.",https://static2.bigstockphoto.com/6/5/1/large2/156626291.jpg,seychelles,yes,1.0,,['no'],seychelles
00022.jsonl.gz-6992136,"Fototapeta Popularne Coconut palms on sand beach Anse Source d'Argent in La Digue Island, Seychelles.",https://as2.ftcdn.net/jpg/03/46/71/01/240_F_346710113_C4XYvrA77RjfThj9HHG4xQTCgrmfX9hZ.jpg,seychelles,yes,1.0,,['no'],seychelles
00074.jsonl.gz-3061532,View from Anse Major Nature Trail over the northwest coastline of Mahe island Seychelles. Summer holiday concept.,https://static1.bigstockphoto.com/0/8/1/large2/180126940.jpg,seychelles,yes,1.0,,['no'],seychelles
00008.jsonl.gz-13356354,"The Beauty Of The Seychelles, huge Boulders, Hibiscus and Palms fringe a stunning Beach on the idyllic island of La Dique",https://thumb7.shutterstock.com/image-photo/stock-photo-the-beauty-of-the-seychelles-huge-boulders-hibiscus-and-palms-fringe-a-stunning-beach-on-the-450w-56583928.jpg,seychelles,yes,1.0,,['no'],seychelles
00009.jsonl.gz-13391095,"La Digue Seychelles, Young Men On Vacation At The Tropical Island La Digue, Mid Age Guy Walking On T",https://static2.bigstockphoto.com/8/5/3/large2/358966027.jpg,seychelles,yes,1.0,,['no'],seychelles
00065.jsonl.gz-5308043,diving boat at side of mahe island,http://blog-imgs-34.fc2.com/g/o/d/godspeeddiary/20090929001610db8s.jpg,seychelles,yes,1.0,,['no'],seychelles
00001.jsonl.gz-828348,"Tropical beach Source D'Argent at island La Digue, Seychelles - vacation background Stock Photo - 6968670",https://us.123rf.com/450wm/violin/violin1005/violin100500009/6968670-tropical-beach-source-d-argent-at-island-la-digue-seychelles-vacation-background.jpg?ver=6,seychelles,yes,1.0,,['no'],seychelles
00070.jsonl.gz-3783114,Seychelles Long Exposure for soft water effect looking out to Silhouette island at Sunset - stock photo,https://thumb101.shutterstock.com/image-photo/stock-photo-seychelles-long-exposure-for-soft-water-effect-looking-out-to-silhouette-island-at-sunset-450w-56618371.jpg,seychelles,yes,1.0,,['no'],seychelles
00069.jsonl.gz-1423886,View from aircraft window Leaving Bird Island Seychelles Stock Photo,https://c8.alamy.com/comp/APWB33/view-from-aircraft-window-leaving-bird-island-seychelles-APWB33.jpg,seychelles,yes,1.0,,['no'],seychelles
00012.jsonl.gz-8938847,Seychelles Coco Island Isla drone aerial view enrico pescantini from above 2,https://pescart.com/wp-content/uploads/2018/06/Seychelles-Isla-Coco-2.png?x21160,seychelles,yes,1.0,,['no'],seychelles
00078.jsonl.gz-7759360,SEYCHELLES - CIRCA 1982: a stamp printed in Seychelles shows Curieuse Island and Praslin circa 1982,https://static3.bigstockphoto.com/thumbs/0/5/1/large2/150587048.jpg,seychelles,yes,1.0,,['no'],seychelles
00076.jsonl.gz-15963179,climas: Branch in the white sand on curieuse island on the seychelles,https://us.123rf.com/450wm/christianbo/christianbo1710/christianbo171000305/88293000-branch-in-the-white-sand-on-curieuse-island-on-the-seychelles.jpg?ver=6,seychelles,yes,1.0,,['no'],seychelles
00081.jsonl.gz-5622338,Fregate private Island in Seychelles,https://i2.wp.com/www.thedailyadventuresofme.com/wp-content/uploads/2016/07/Fregate-private-Island-in-Seychelles.jpg?resize=640%2C421,seychelles,yes,1.0,,['no'],seychelles
00017.jsonl.gz-11673346,"Anse Lazio beach, Praslin island, Seychelles Stock photo © kubais",https://img3.stockfresh.com/files/sstk/528/4521636-stock-photo-beautiful-sunset-over-the-famous-beach-anse-lazio-praslin-island-seychelles-279505196.jpg,seychelles,yes,1.0,,['no'],seychelles
00005.jsonl.gz-16356387,Free Seychelles Island. Beaches Of Mahe Royalty Free Stock Photography - 56457287,https://thumbs.dreamstime.com/t/seychelles-island-beaches-of-mahe-56457287.jpg,seychelles,yes,1.0,,['no'],seychelles
00066.jsonl.gz-11739634,"Fototapety Seascape view with a huge stones, Seychelles, LaDigue island",https://t2.ftcdn.net/jpg/00/43/71/15/160_F_43711576_AsoL2alm8Qfcvk7X6wE7IQiqQ8CWsVKs.jpg,seychelles,yes,1.0,,['no'],seychelles
00080.jsonl.gz-9526004,"Seascape view  with a huge stones. Seascape  fisheye view  with a huge stones, Seychelles, LaDigue island, The Indian Ocean Royalty Free Stock Images",https://thumbs.dreamstime.com/t/seascape-view-huge-stones-22932919.jpg,seychelles,yes,1.0,,['no'],seychelles
00080.jsonl.gz-3062065,"View from Mount Copolia over the east of Mahe, Seychelles with the capital Victoria and Eden Island, granite rock in the foreground.",https://media.istockphoto.com/photos/mahe-coastline-view-seychelles-picture-id487966660?b=1&k=6&m=487966660&s=170667a&h=tUbF9KCCRMDj9cBOW8CrspQEvrf7qUJz784dwpOoENE=,seychelles,yes,1.0,,['no'],seychelles
00073.jsonl.gz-6154581,Shoreline of a tropical island in the Seychelles and view of the Ocean,https://static3.bigstockphoto.com/5/6/1/large2/165136508.jpg,seychelles,yes,1.0,,['no'],seychelles
00069.jsonl.gz-11287614,"Anse Lazio beach at Praslin island, Seychelles Stock Photography",https://thumbs.dreamstime.com/t/anse-lazio-beach-praslin-island-seychelles-africa-63420812.jpg,seychelles,yes,1.0,,['no'],seychelles
00076.jsonl.gz-4304817,Anse Source d'Argent beach on La Digue island in Seychelles - stock photo,https://thumb7.shutterstock.com/image-photo/stock-photo-anse-source-d-argent-beach-on-la-digue-island-in-seychelles-450w-70532053.jpg,seychelles,yes,1.0,,['no'],seychelles
00012.jsonl.gz-11516626,"some where you can see you feet in the water even in the deep end :) Seychelles Island, Africa",https://i.pinimg.com/564x/21/30/b8/2130b825d97750de0d7d756067386db2.jpg,seychelles,yes,1.0,,['no'],seychelles
00002.jsonl.gz-8101033,"Palm trees lining the shores of Anse Severe in La Digue Island, Seychelles",https://i2.wp.com/acr-web.s3.amazonaws.com/projects/kwtl/730412/09-1140.jpg?w=750&ssl=1,seychelles,yes,1.0,,['no'],seychelles
00021.jsonl.gz-3642195,"14. Anse Source d'Argent, La Digue Island, Seychelles - 29 Most Exciting Beaches to Visit",https://4.bp.blogspot.com/-mOa2VhsJ6W0/VTojBw2m8SI/AAAAAAAAYVs/qsigL3AoND0/s1600/14.%2BAnse%2BSource%2Bd%E2%80%99Argent%2C%2BLa%2BDigue%2BIsland%2C%2BSeychelles%2B-%2B29%2BMost%2BExciting%2BBeaches%2Bto%2BVisit.jpg,seychelles,yes,1.0,,['no'],seychelles
00084.jsonl.gz-800923,The car-free island of Hiddensee offers an endless stretch of sandy beach to explore.,https://cheeseweb.eu/wp-content/uploads/2019/08/Hiddensee-island-germany-beaches.jpg,germany,yes,1.0,,['no'],germany
00083.jsonl.gz-1440417,sylt island sylt germany the world s best beaches pinterest,http://tse2.mm.bing.net/th?id=OIP.4tuSMpUwR-Sc1I9VeQLcsgHaEo,germany,yes,1.0,,['no'],germany
00001.jsonl.gz-3992873,"Pfalzgrafenstein castle 1327 on Die Pfalz island in River Rhine, Kaub, Rhineland-Palatinate, Germany, Europe. - Stock Photo",https://l450v.alamy.com/450v/eapagf/pfalzgrafenstein-castle-1327-on-die-pfalz-island-in-river-rhine-kaub-eapagf.jpg,germany,yes,1.0,,['no'],germany
00070.jsonl.gz-8676328,"White chalk cliffs on the island of Ruegen, Germany Royalty Free Stock Photos",https://thumbs.dreamstime.com/t/white-chalk-cliffs-island-ruegen-germany-blue-sea-which-german-famous-62307638.jpg,germany,yes,1.0,,['no'],germany
00069.jsonl.gz-3196441,"[GERMANY.BAYER 00679]  'Port of Lindau.'  Calling Lindau the 'Venice of Bavaria' is overstated, allthough indeed it's situated on an island. The other slogan fits better: 'The Happy End of Germany'. Waterside terraces overlook the port. Photo Paul Smit.",https://photos.smugmug.com/Features/Europe/Germany/Bodensee-Lake-Constance/i-Ds9ZHN5/1/4cf78146/M/679-bodensee-M.jpg,germany,yes,1.0,,['no'],germany
00002.jsonl.gz-11939985,Landscape And Ocean At Hiddensee Island,https://static1.bigstockphoto.com/thumbs/9/1/1/large2/119216576.jpg,germany,yes,1.0,,['no'],germany
00006.jsonl.gz-11073094,Images Germany Moritzburg Castle castle Lake Island From above Cities Castles,https://s1.1zoom.me/big0/852/Germany_Castles_Lake_Island_Moritzburg_Castle_From_602233_1280x831.jpg,germany,yes,1.0,,['no'],germany
00073.jsonl.gz-2493139,"Coastal Landscape at Kap Arkona on Ruegen Island at baltic Sea, Mecklenburg Western Pomerania, Germany",https://static2.bigstockphoto.com/thumbs/0/4/1/large2/140179271.jpg,germany,yes,1.0,,['no'],germany
00014.jsonl.gz-5546685,"Chalk Cliffs, Jasmund National Park, Ruegen Island (Rugen Island) Photographic Print by Jochen Schlenker",https://cache2.allpostersimages.com/p/MED/76/7635/IPFG300Z/posters/jochen-schlenker-chalk-cliffs-jasmund-national-park-ruegen-island-rugen-island.jpg,germany,yes,1.0,,['no'],germany
00006.jsonl.gz-2632702,"Juist, a remote German island in the North sea",https://d.ibtimes.co.uk/en/full/1401062/juist-remote-german-island-north-sea.jpg?w=350,germany,yes,1.0,,['no'],germany
00076.jsonl.gz-3350886,"Coastal Landscape at Kap Arkona on Ruegen Island at baltic Sea, Mecklenburg Western Pomerania, Germany",https://static1.bigstockphoto.com/thumbs/0/4/1/large2/140189726.jpg,germany,yes,1.0,,['no'],germany
00002.jsonl.gz-6288914,Rügen - the Baltic Treasure Island | Check-in,https://i.ytimg.com/vi/tjjBsydqdcE/0.jpg,germany,yes,1.0,,['no'],germany
00020.jsonl.gz-2233610,Chalk cliffs on the island of Rügen. Sunshine in autumn mood with clouds at blue sky and old tree trunk at nature beach in Jasmund National Park - Stock Photo,https://l450v.alamy.com/450v/R8FGJW/chalk-cliffs-on-the-island-of-rgen-sunshine-in-autumn-mood-with-clouds-at-blue-sky-and-old-tree-trunk-at-nature-beach-in-jasmund-national-park-R8FGJW.jpg,germany,yes,1.0,,['no'],germany
00064.jsonl.gz-9839260,The island of Helgoland in the North Sea to the port area on Helgoland in Schleswig-Holstein.,https://www.aerialphotosearch.com/photo/search/aerial-photos-helgoland-308706.jpg,germany,yes,1.0,,['no'],germany
00010.jsonl.gz-10439919,"Coastal area Hoernum-Odde - Island in Hoernum (Sylt) in the state Schleswig-Holstein, Germany",https://www.aerialphotosearch.com/photo/search/aerial-photos-hoernum-sylt-456989.jpg,germany,yes,1.0,,['no'],germany
00016.jsonl.gz-10919325,An aerial view of the East Frisian Island Spiekeroog is pictured at the national park Lower Saxony's Mud Flats near - Stock Photo,https://l450v.alamy.com/450v/db9c71/an-aerial-view-of-the-east-frisian-island-spiekeroog-is-pictured-at-db9c71.jpg,germany,yes,1.0,,['no'],germany
00073.jsonl.gz-8593596,the high sea island Helgoland in the North Sea from above,https://image.shutterstock.com/image-photo/high-sea-island-helgoland-north-260nw-1478007599.jpg,germany,yes,1.0,,['no'],germany
00001.jsonl.gz-10447880,"Beach and villas in Baltic resort Binz, Island Ruegen, Baltic Sea coast, Mecklenburg-Western Pomerania, Northern Germany, Germany, Europe",https://media02.stockfood.com/thumbs/170/71130159.jpg,germany,yes,1.0,,['no'],germany
00068.jsonl.gz-5456382,"Coast of Helgoland, a german island in the North Sea Stock Photo - 16916594",https://us.123rf.com/450wm/estike/estike1212/estike121200017/16916594-coast-of-helgoland-a-german-island-in-the-north-sea.jpg?ver=6,germany,yes,1.0,,['no'],germany
00013.jsonl.gz-14180451,"Aerial view, place Norderney, West Island, Wadden Sea, aerial view, Norderney, North Sea, North Sea island, East - Stock Photo",https://l450v.alamy.com/450v/fe89ft/aerial-view-place-norderney-west-island-wadden-sea-aerial-view-norderney-fe89ft.jpg,germany,yes,1.0,,['no'],germany
00068.jsonl.gz-2408229,View over the northern beach of Heligoland to the neighbouring island D�ne. photo,https://us.123rf.com/450wm/dirkr/dirkr1110/dirkr111000033/10883085-view-over-the-northern-beach-of-heligoland-to-the-neighbouring-island-d-ne.jpg,germany,yes,1.0,,['no'],germany
