id,text,svm_1,gemini-flash_faiss_country
2190,Modern office building in the heart of Leicester,1.0,united kingdom
2734,"Germaine Greer in her office at home in Essex, 2014",1.0,united kingdom
2836,Home Office Study Fordingbridge,1.0,united kingdom
2842,Office Partitions Glass Partitions Brighton Hove Horsham Sussex,1.0,united kingdom
50,"Steelcase Bivi Modular Office Desk for 2 for Sale in Brooklyn, NY",1.0,united states
91,contemporary office lighting. Magnificent Modern Lighting : Office System Contemporary Nyc G,1.0,united states
187,North Scottsdale Office Space for Lease,1.0,united states
347,"Great Bend Kansas~Post Office All Alone~Parapet, Mail Drop Box~c1914 Postcard pc",1.0,united states
382,Net-A-Porter NYC Office / Studiofibre,1.0,united states
385,Bookshelves San Francisco by Diy Rustic Bookshelves Home Office Traditional With San Francisco,1.0,united states
527,"FILE - In this May 28, 2014, file photo, Gov. Jerry Brown poses in his Capitol office in Sacramento, Calif. Brown leaves office Jan. 7, 2019.",1.0,united states
533,trend home office furniture. Trend Home Office Furniture Orlando Top Design Ideas Mattress Deals In Built Used New York Albuquerque Company Pre Owned Credenza American Fl Leather E,1.0,united states
579,"U.S. President Donald Trump, flanked by U.S. Vice President Mike Pence (L) and Advisor Jared Kushner, speaks in the Oval Office to announce that Bahrain will establish diplomatic relations with Israel, at the White House in Washington, DC on September 11, 2020.",1.0,united states
653,Apartment and office space - Muncy,1.0,united states
754,"Photo of Office Space on Independence Wharf,470 Atlantic Ave Boston",1.0,united states
770,"U.S. President Donald Trump meets with Russian Foreign Minister Sergey Lavrov, second left, at the White House in Washington, Wednesday, May 10, 2017. Trump on Wednesday welcomed Vladimir Putin's top diplomat to the White House for Trump's highest level face-to-face contact with a Russian government official since he took office in January. Fourth from right is Russian Ambassador to the U.S. Sergei Kislyak. (Russian Foreign Ministry Photo via AP)",1.0,united states
780,Office furniture Stamford,1.0,united states
796,"Huntington Beach Virtual Business Address, Office Location",1.0,united states
803,"Office space located at 447 Broadway, 2nd Floor, Room Soho Meeting Lounge, #2",1.0,united states
809,"D.C. Mayor Muriel Bowser on July 10 signs the District of Columbia Green Finance Authority Establishment Act of 2018, officially making Washington, DC the first city in the United States to establish a green bank. (Courtesy of Bowser's office via Twitter)",1.0,united states
904,"This is a photo of the office space available to rent on 745 5th Ave, Plaza District, Midtown",1.0,united states
1038,"WASHINGTON, Feb. 5, 2018 - Jerome Powell (R) takes the oath of office as Chairman of the U.S. Federal Reserve, succeeding Janet Yellen, in Washington, the United States. on Feb 5, 2018.",1.0,united states
1055,Baltimore Home Office - SARA Wall System,1.0,united states
1085,"Photo of Office Space on 1101 Pennsylvania Avenue,Evening Star Building, Suite 500/600/700 Washington DC",1.0,united states
1092,Used office cubicles St Louis MO,1.0,united states
1205,Lawmakers on Capitol Hill continue to be frustrated with data center policy coming out of the Office of Management and Budget. (JONATHAN NACKSTRAND/AFP/Getty Images),1.0,united states
1239,Interior Designer Nyc cond 233 nast entertainment s rustic open nyc office,1.0,united states
1240,"Donald Trump, seated at the desk of the Oval Office, speaks on the phone, surrounded by his chief of staff Reince Preibus, VP Mike Pence, strategist Steve Bannon, and press secretary Sean Spicer",1.0,united states
1247,"US Bank Center, 1420 5th Ave, 22nd Fl, Downtown Office Space - Seattle",1.0,united states
195,"Fredrik Karlsson Stockholm,Sweden Hi Fredrik, first of all I want to wish you a successful Please tell us a little about yourself, your main activity is interior design? Home Panel, Interior Architecture, Interior Design, Home Board, Home Office Design, Bradford, Architectural Digest, Office Interiors, Home And Living",1.0,sweden
4976,9000 Task Chairs - Office Furniture | Kinnarps,1.0,sweden
12270,Microsoftr Office 365 Home Premium 32-bit/x64 Swedish Nordic Subscription 1 Lice,1.0,sweden
13327,"Before summer passes us by, let's pretend like we're soaking up all it has to offer at this incredible Swedish cottage. Black And White Office, Black White, Swedish Cottage, Scandi Chic, Scandinavian Style Home, Swedish Design, Office Interior Design, Home Reno, Home Office",1.0,sweden
28082,office armoire ikea. Google Image: Love The Color; Ikea Computer Armoire Painted Office,1.0,sweden
30532,Skype Office in Stockholm Seen On www.coolpicturegallery.us,1.0,sweden
31943,Skype Offices in Stockholm | Office facilities | pS Arkitektur,1.0,sweden
54733,Radius Task Office Chair in Stockholm Graphite,1.0,sweden
55726,Skelleftea Kraft Office Building / General Architecture,1.0,sweden
60171,CapMan Real Estate acquires three office and mixed-use buildings in Stockholm,1.0,sweden
63234,Office space in Stockholm,1.0,sweden
65705,Officemax Clear Glass Desk by Glass Office Desk Ikea On With Hd Resolution 1200x889 Pixels,1.0,sweden
67740,Crown Princess Victoria of Sweden visited Tjejzonen's office in Stockholm,1.0,sweden
69561,Monolite High Soft Seating - Office Furniture | Kinnarps,1.0,sweden
76442,google office stockholm woont love your home,1.0,sweden
78023,Globen office - corridor,1.0,sweden
78885,Red Bull Offices Stockholm Office Snapshots,1.0,sweden
82907,design ikea office ikea home. Perfect Design Ikea Home Office Overview With Wall Cabinet IKEA Throughout Design A,1.0,sweden
83380,offices google office stockholm 24 google office thailand 1000 images about interesting office spaces on pinterest branching google tel aviv office,1.0,sweden
86409,"Antique Leather And Oak Office Desk Swivel Chair 1900s, Sweden",1.0,sweden
89820,1940 Press Photo Lieut. General Pen Sylvan Chief of Swedish Army in Office,1.0,sweden
101261,google office stockholm. google inc office these are the 18 coolest workplaces fortune stockholm,1.0,sweden
106378,Autodesk's Stockholm office in 360,1.0,sweden
107398,Scandinavian Home Office by Sadolin Danmark,1.0,sweden
107929,IKEA office,1.0,sweden
220,"0 bed Office For Rent in Msida, Msida - thumb 2",1.0,malta
16096,Traditional Valletta Office for Rent,1.0,malta
39012,Office in Swatar To Rent,1.0,malta
56626,Top Best Salon Design Ideas Salons Decor Hair Inspirations Modern ... Beautynt Fniture Small Studio Decorating Ideas For Charming And Home Office Design Decor Categories Bjyapu Interior Malta Barber Shop Pictures Beauty Salon Designs Salon Ideas Youtube Fresh Amazing Hair Cuisine Designer Photos On Great Modern Propaganda Group Instahomedesignus Awesome Contemporary Easy Diy Decorations Remodeled Best Display,1.0,malta
86830,Sliema Penthouse Office for Rent,1.0,malta
148070,Office To Let in Hal Lija Business Center,1.0,malta
149977,"0 bed Office For Rent in Birkirkara, Birkirkara - thumb 2",1.0,malta
169418,Rent Office Space in a prestigious St. Julian's Business Centre,1.0,malta
186374,Lija-Palazzo-Office-for-Rent,1.0,malta
204443,Duplex Office for Rent in Floriana - (1),1.0,malta
208263,Small Office To Let Msida,1.0,malta
214512,Prime Location Valletta Office to Let,1.0,malta
221451,Seafront Office for Rent in Sliema (231m2),1.0,malta
224070,Portomaso Office Space for Rent (300m2),1.0,malta
238660,200sqm Malta Office Space to Let,1.0,malta
246706,"Malta Office Chair, Espresso Vinyl",1.0,malta
277562,Serta Home Office Desk Chairs Valetta Dovetail Gray Home Off,1.0,malta
283579,250sqm Office in Malta To Let,1.0,malta
287371,"SOHO Office Space - St. Julian's, San Giljan",1.0,malta
311264,cool office partitions. Office Glass Partition JAMAR - Jamar Malta Residential Commercial Industrial Cool Partitions,1.0,malta
321865,Ave Six Malta Office Chair,1.0,malta
345412,Penthouse Office in Malta To Let,1.0,malta
383769,"Office, War Rooms, Malta",1.0,malta
386185,150m2 Portomaso Office For Rent,1.0,malta
392583,"Office Star Ave Six® Faux Leather Malta Office Chair, Black",1.0,malta
233,New Pimlico Modern 12 Conferenceboardroommeeting Office Table 12 Chairs Set,1.0,australia
768,"Private Office for rent 330 Collins Street Melbourne, VIC",1.0,australia
971,"Private office at Level 13 & 14, 167 Macquarie Street, image 2",1.0,australia
1042,"City Central Tower 2, 121 King William St Office for Rent in Adelaide",1.0,australia
1369,"Interior Design by Studio Nine Architects seen at OZ Minerals, Adelaide Airport - OZ Minerals Head Office",1.0,australia
1740,"Photo of Office Space on 111 Eagle St, Level 54, Golden Triangle Brisbane",1.0,australia
2024,Office Space Rental. Ssl Certificate Website Advanced Self Storage. Best Colleges In Usa For Business. Used Cars North Attleboro Ma. Willow Ridge Apartments Charlotte Nc. International Movers Atlanta. Personal Loan Comparison Australia. When To Give Baby Sippy Cup Www Traders Com. Las Vegas Time Zone Map Window Cleaning Austin,1.0,australia
2067,Stunning Office Suite - One of the Best Toowoomba Has Seen - Toowoomba City,1.0,australia
2729,office desks cheap. Cheap Office Furniture Manufacturers In Home  Desks Melbourne .,1.0,australia
3199,Enhance Your Home Office With The Fraser Island Desk. The Left Side Facing  Features One,1.0,australia
3342,A-GRADE FITTED PRIVATE OFFICE LOCATED IN THE HEART OF MELBOURNE CBD,1.0,australia
3717,"Private Office for rent 680 George Street Sydney, NSW",1.0,australia
3919,"Rent your private office space in Box Hill , serviced office at Box Hill, image 1",1.0,australia
4538,235sqm* GROUND FLOOR OFFICE/ RETAIL SPACE ON NUDGEE RD,1.0,australia
4658,Direct Ergonomics | Sydney Office Furniture | Ergonomic Furniture | Ergonomic Seating | Eexcutive and Task Seating | Meeting Room Chair | Genex 300,1.0,australia
5047,"Clare Cousins' Melbourne Office, Blackwood Street Bunker | Yellowtrace",1.0,australia
5485,"This is a photo of the office space available to rent on 338 Pitt Street, Level 16",1.0,australia
5891,Company tidy office Ufficio Ordinato Tips To Find The Best Commercial Cleaners In Sydney Clean And Tidy Offices Are Blessing Amazon Uk Tips To Find The Best Commercial Cleaners In Sydney Office Cleaning,1.0,australia
6157,"Red Design Group, Melbourne Office",1.0,australia
6745,"When you need comfortable office chairs in Adelaide, for more information phone (08) 8351 9293.",1.0,australia
7390,"Macquarie Group headquarters by Edward Ogosta Architecture, Sydney office design",1.0,australia
7503,Office Tour Qbe Insurance Offices Melbourne Workplace Design,1.0,australia
7535,"Book open plan office space for businesses of all sizes in Regus Australia Square Plaza, serviced office at Australia Square Plaza, image 1",1.0,australia
7957,Officers at Collie Police station spread some Christmas cheer in their boss' office on Saturday.,1.0,australia
8381,Office for Rent on Executive Suites @ 115 Pitt Street Sydney,1.0,australia
325,Paysafe Office by Cache Atelier in Sofia.,1.0,bulgaria
38434,Arh Engineering - Office building - bul. Hr. Botev,1.0,bulgaria
45452,Regus Virtual Office in Sofia City West,1.0,bulgaria
94340,Polygraphia Office Center was officially opened in Sofia,1.0,bulgaria
99379,Copper Grove Shumen 72-inch Office Desk with Drawers,1.0,bulgaria
123695,Stylish furnished office in Gotse Delchev district,1.0,bulgaria
141275,"Facebook Timeline in user profile on the Apple Macbook Pro Retina screen that is on office wooden desk. Facebook is the most popular social network in the world. Varna, Bulgaria - May 31, 2015.",1.0,bulgaria
230645,Copper Grove Shumen 72-inch Office Desk with Drawers,1.0,bulgaria
266032,Sofia Mid Back Conference Office Chair - living-essentials,1.0,bulgaria
289958,Aristocratic office for sale close to National Palace of Culture,1.0,bulgaria
292415,cache-atelier-new-office-space-sofia-1,1.0,bulgaria
293126,Yambol's Customs And Excise Office,1.0,bulgaria
335317,Free office space at Serdika Offices 280 sq.m.,1.0,bulgaria
342122,"Furnished office space for rent, with great location in the top centre of Veliko Tarnovo",1.0,bulgaria
344060,Central Post Office Plovdiv,1.0,bulgaria
349005,For sale is a building which is a monument of architecture in the center of Varna – living and office building,1.0,bulgaria
349216,New Burgas post office in Bulgaria Stock Images,1.0,bulgaria
392410,Fibank Head Office Bulgaria (PRNewsfoto/Fibank),1.0,bulgaria
409516,"DAC Чавдар Тролеи Варна .Varna Post Office, with DAC-Chavdar trolleybus and Moskvich car.",1.0,bulgaria
410207,Office Chairs Sofia Fabric Office Chair Sof300t1 By Dams 121 Office Furniture,1.0,bulgaria
413251,Balkan Services offers the cloud service of Microsoft - Office 365 - balkanservices.com,1.0,bulgaria
414816,"Microsoft Office Professional Edition 2003 Box,in Bulgarian with Product Key.",1.0,bulgaria
416840,POMORIE BULGARIA - AUGUST 18 2017: The office of one of the top banks in Bulgaria - Investbank.,1.0,bulgaria
430299,Office for sale in Mladost 1A,1.0,bulgaria
436546,"Paysafe Office Space in Sofia - #office, #interior,",1.0,bulgaria
343,"Office For Rent at Axiata Tower, Kuala Lumpur",1.0,malaysia
364,Malaysia Office Chair,1.0,malaysia
576,Office Reception Design Malaysia 05,1.0,malaysia
680,VIERA WOODEN DIRECTOR HIGH BACK LEATHER OFFICE CHAIR - BEST VALUE WOODEN DIRECTOR OFFICE CHAIR | WOODEN DIRECTOR OFFICE CHAIR KOTA KEMUNING | WOODEN DIRECTOR OFFICE CHAIR SERI KEMBANGAN | WOODEN DIRECTOR OFFICE CHAIR PLAZA LOW YAT,1.0,malaysia
753,"For Rent Office at Plaza Mont Kiara, Mont Kiara Freehold Unfurnished 0R/0B 2.5k",1.0,malaysia
808,"Office For Rent at Wisma Sunway, Shah Alam",1.0,malaysia
973,"Office For Rent at Wisma Consplant, SS16",1.0,malaysia
2501,rectangular office table with fixed pedestal 2 drawer office furniture kuala lumpur shah alam klang valley,1.0,malaysia
2896,"For Rent Office at Etiqa Twins, KLCC Freehold Fully Furnished 0R/0B 2.7k",1.0,malaysia
3345,home office shaped. malaysia experienced wooden office and home furniture shaped,1.0,malaysia
4816,"For Rent Office at C180, Cheras South Freehold Unfurnished 0R/0B 1.4k",1.0,malaysia
4827,"Office For Rent at Axiata Tower, Kuala Lumpur",1.0,malaysia
5329,Picture of Office for rent in Johor Bahru,1.0,malaysia
5475,"Office For Rent at Suria Sabah Shopping Mall, Kota Kinabalu",1.0,malaysia
6301,"Shop Office For Rent at Melaka Tengah, Melaka",1.0,malaysia
6622,"For Rent Office at Diamond Square, Setapak Freehold Fully Furnished 3R/1B 1.3k",1.0,malaysia
7169,"Office For Rent at Wisma Sunway, Shah Alam",1.0,malaysia
7236,modern office lounge. sherwin williams offices by m moser associates kuala lumpur malaysia 09 modern office lounge f,1.0,malaysia
7668,Interior Design & Office Design Malaysia @ LIFT LOBBY - SUCASA 3,1.0,malaysia
7823,office desk divider. officefurniturepaneldividersworkstationsofmmw1systemselangor office desk divider,1.0,malaysia
8311,"Office For Rent at Menara Keck Seng, Bukit Bintang",1.0,malaysia
10692,"Office For Rent at PJX, PJ State",1.0,malaysia
10951,"Office For Rent at One Mont Kiara, Mont Kiara",1.0,malaysia
11111,"For Rent Office at NeoCyber, Cyberjaya Freehold Unfurnished 0R/0B 81k",1.0,malaysia
11212,"Office For Rent at Quattro West, Petaling Jaya",1.0,malaysia
455,Confident Chinese businessman looking at view in front of office building — Stock Photo,1.0,china
1924,Office Space Virus by Trend Micro Offices By Ida Workplace Strategy Taipei,1.0,china
2031,China Modern Office Furniture MFC Wooden MDF Office Table (NS-NW099) pictures & photos,1.0,china
2420,Foto de Beautiful chinese business woman over blue office background. - Imagen libre de derechos,1.0,china
5954,"Headquarters, Traditional Chinese Medicine Science and Technology Industrial Park of Co-operation between Guangdong and Macao by Aedas | Office buildings",1.0,china
7136,huge office desk. big office desk popular matbuy cheap mat lots from china huge i,1.0,china
7495,best selling China manufacturer cheaper office melamine executive desk with height adjustable leg,1.0,china
8951,China factory top quality modern office furniture wooden executive office desk price(FOH-HS-A1876),1.0,china
10056,"A businessman takes pictures of recently erected office and residential buildings in Beijing, China April 20, 2017. REUTERS/Thomas Peter",1.0,china
10103,office desk with locking drawers china affordable office desk boss executive desk manager desk staff,1.0,china
10677,The Vietnam Economic and Cultural Office in Taipei. Photo: Google Maps,1.0,china
10869,Close-Up of Modern Office Buildings in city of China,1.0,china
12112,Eames Leather Office/ Hotel Chinese Aluminium Manager Chair (B01-2) pictures & photos,1.0,china
12327,Pegatron office,1.0,china
12481,9.639: An Inserted Variable Office in Beijing by LUO studio,1.0,china
12654,"To be Simplest- GT Land Plaza Office, Guangzhou - DRAWING DESIGN CONSULTANT CO., LTD",1.0,china
13079,China High Quality Custom Sports Video Game Car Seats And Recliners With Pedals China Gaming Chair Office Chair,1.0,china
13471,"The Anokiwave A/P team celebrate the opening of the new Taiwan Office in Taipei, Taiwan",1.0,china
13617,Computer chair home office chair ergonomic reclining chair recliner network 9009A swivel chairs Leisure(China  sc 1 st  AliExpress.com & Compare Prices on Office Recliners- Online Shopping/Buy Low Price ... islam-shia.org,1.0,china
14085,Young chinese man working with laptop in office,1.0,china
14578,Office revolving chair by China office furniture manufacturer,1.0,china
15124,"Shenzhen, china: office commercial building Stock Image",1.0,china
16511,Made In China Modern Office Table Latest Design Wooden Executive,1.0,china
17307,Chinese man working in office with computer — Stock Photo,1.0,china
18205,"Asian pretty women wearing mask respiratory protection mask against epidemic flu covid19 or corona virus from wuhan in office with fear emotion in concept illness, outbreak, healthcare in life",1.0,china
457,"Creative Spaces assisted outdoor gear company Kathmandu with the design of their new office headquarters in Christchurch, New Zealand. Visual Merchandising, Christchurch New Zealand, Open Office, Workplace Design, Decorative Panels, Office Workspace, Design Furniture, Office Interiors, Retail Design",1.0,new zealand
3876,"7 Person Private Office For Lease At 188 Quay Street, Auckland, Auckland City, 1010 - image 3",1.0,new zealand
5380,Commercial Heat Pump Installation by Go Cold Refrigeration Services Ltd - Hitachi heat pump installed at KiwiRail office depot in West Auckland,1.0,new zealand
9807,Tall Office Chairs Nz by Articles With High Rise Office Chair Nz Tag High Office Chair,1.0,new zealand
10718,Taupo Office Products Depot,1.0,new zealand
10944,"Office space for lease in 165 The Strand, Auckland Auckland - image 2",1.0,new zealand
11098,office aquarium fish tanks Auckland,1.0,new zealand
11197,Office space in Basepoint Business & Enterprise Centre Andersons Road,1.0,new zealand
14035,Serviced Office Auckland Generator,1.0,new zealand
20830,Auckland / New Zealand - July 28 2019: View of Mastercard office building in Auckland Downtown,1.0,new zealand
35290,Plywood bookshelf and office storage | Quality Plywood Furniture made in New Zealand | Make Furniture,1.0,new zealand
36669,Labour list MP Jamie Strange examines his member's bill in his Hamilton office.,1.0,new zealand
40273,"Men standing with a horse and cart outside Karori Store, Karori. Taken by an unidentified photographer in Karori Post Office Store. Fire Hall, Pioneer Life, Heritage Foundation, The Settlers, Doctor Office, General Store, Post Office, Old Photos, New Zealand",1.0,new zealand
58591,"IBM office in Auckland workplace reception design with yellow wall, front desk, company signage and model car decor",1.0,new zealand
71716,Insight creative offices by yellow 6 design auckland for Office design new zealand,1.0,new zealand
71798,"Office space for lease in 21 Putney Way, Auckland Auckland - image 3",1.0,new zealand
73870,Interior Designer New Zealand by Office Tour Bp Oil New Zealand U2013 Auckland Head Office Bp Oil,1.0,new zealand
76946,WAREHOUSE & OFFICE COMBO - Tauranga,1.0,new zealand
80031,Work with a difference at Takapuna's premium new office development,1.0,new zealand
80400,Stylish Mezzanine Office - Grey Lynn,1.0,new zealand
83539,Office Furniture Auckland NZ - Buy Direct Save Money,1.0,new zealand
87354,"3 Person Private Office For Lease At 92 Albert Street, Auckland Central, Auckland, 1010 - image 2",1.0,new zealand
91101,The research agency office new zealand knstrct for Office design research,1.0,new zealand
91549,"15 Person Enterprise Office For Lease At Dockside Lane, Auckland CBD, Auckland, 1010 - image 1",1.0,new zealand
103867,"An artist's impression of the completed three-level office building at 45 Wilkinson Rd, Ellerslie.",1.0,new zealand
590,ABCO Group Office Solutions Simplified in Scarborough,1.0,canada
727,Looking For A Beautiful Open Space Modern Office Omni Furniture Is Provider In Vancouver BC Omniofficefurnitureco,1.0,canada
1987,Main Photo: 207 11240 BRIDGEPORT ROAD in Richmond: East Cambie Office for lease : MLS®# C8020662,1.0,canada
3650,General office for rent in Montreal (Downtown) at The-Aldred-Building - Photo 03 - RentersPages – L181045,1.0,canada
4237,Photo 6:  in SOOKE: Sk Whiffin Spit Office for sale (Sooke)  : MLS®# 594523,1.0,canada
4624,Law Man's Office - Molson Ghost Town Acrylic Print by Daniel Hagerman,1.0,canada
4796,kw used office furniture kitchener waterloo used office furniture rh kwofficefurniture com  used office furniture cambridge ont,1.0,canada
5851,8 Tips for creating an efficient office on a budget AllOntario,1.0,canada
6749,81-141 Bay St. office towers rendering. (CNW Group/EllisDon Corporation),1.0,canada
8290,bureau de style race car style office chairs up to 48 offered on tuango ca,1.0,canada
9930,Office Desks Canada Kitchen And Kitchener Furniture Large Office Desk Office Seating,1.0,canada
10652,"Modern live work space in Toronto with office table by Made, sneaker-inspired Shoe Toss pendants by Jeremy Hatch of Ricochet Studio. Interior Work, Interior Architecture, Interior And Exterior, Room Interior, Home Office, Office Table, Home Studio, Workspace Inspiration, Interior Inspiration",1.0,canada
11324,royal staging provides a coporate redesign service for office and business in the montreal area royal home office decorating,1.0,canada
14258,La-Z-Boy Edmonton High-Back Executive Office Chair,1.0,canada
14643,"The Right Honourable Madam Chief Justice Beverley McLachlin, P.C., is photographed in her office at the Supreme Court of Canada on Jan. 5, 2010.",1.0,canada
14719,Sauder    Gruga   Deluxe Fabric Executive Chair   Sears   Sears Canada  Home  Office ChairsExecutive. 75 best Sears Wishlist Wonderland images on Pinterest,1.0,canada
14851,Home office desks toronto the top 10 home office furniture in toronto furniture desks - Home office furniture toronto ...,1.0,canada
14979,Home Office Furniture Montreal Home Office Desk Furniture Atken Me,1.0,canada
15709,home interior business toronto office furniture office interior design,1.0,canada
16307,Photo 16:  in SOOKE: Sk Whiffin Spit Office for sale (Sooke)  : MLS®# 594523,1.0,canada
16401,George Brown College Office Renovation - NGA Architects,1.0,canada
17014,leather office chair. Beautiful Leather TygerClaw Executive High Back Bonded Leather Office Chair  Walmart Canada To C,1.0,canada
17123,Sauder® 'Registry Row' Office Desk - Sears | Sears Canada,1.0,canada
17290,Arnold Reception Desks by Cool Panel Design Ingenious Office Privacy Panels Canada,1.0,canada
17517,Office furniture guelph - Boardroom,1.0,canada
